respondent_id,interview_examination,gender,age_years,age_months_sc_0_2yr,race,six_month_period,age_months_ex_0_19yr,served_active_duty_us,served_active_duty_foreign,born_usa,citizen_usa,time_in_us,education_youth,education,marital_status,pregnant,language_english,household_income
73557,both interview and exam,male,69,NA,black,1,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,3,separated,NA,TRUE,17500
73558,both interview and exam,male,54,NA,white,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,3,married,NA,TRUE,40000
73559,both interview and exam,male,72,NA,white,2,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,4,married,NA,TRUE,70000
73560,both interview and exam,male,9,NA,white,1,119,NA,NA,TRUE,TRUE,NA,3,NA,NA,NA,TRUE,60000
73561,both interview and exam,female,73,NA,white,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,5,married,NA,TRUE,100000
73562,both interview and exam,male,56,NA,mexican american,1,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,4,divorced,NA,TRUE,60000
73563,both interview and exam,male,0,5,white,2,6,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,100000
73564,both interview and exam,female,61,NA,white,2,NA,FALSE,NA,TRUE,TRUE,NA,NA,5,widowed,NA,TRUE,70000
73565,interview only,male,42,NA,other hispanic,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,3,married,NA,TRUE,100000
73566,both interview and exam,female,56,NA,white,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,3,divorced,NA,TRUE,17500
73567,both interview and exam,male,65,NA,white,2,NA,FALSE,NA,TRUE,TRUE,NA,NA,2,widowed,NA,TRUE,12500
73568,both interview and exam,female,26,NA,white,2,NA,FALSE,NA,TRUE,TRUE,NA,NA,5,never_married,no,TRUE,100000
73569,interview only,female,0,10,other,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA
73570,both interview and exam,female,9,NA,other,1,109,NA,NA,TRUE,TRUE,NA,2,NA,NA,NA,TRUE,22500
73571,both interview and exam,male,76,NA,white,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,5,married,NA,TRUE,87500
73572,both interview and exam,female,10,NA,black,1,125,NA,NA,TRUE,TRUE,NA,3,NA,NA,NA,TRUE,7500
73573,both interview and exam,male,10,NA,black,1,128,NA,NA,TRUE,TRUE,NA,4,NA,NA,NA,TRUE,50000
73574,both interview and exam,female,33,NA,asian,1,NA,FALSE,NA,FALSE,TRUE,12.5,NA,5,married,no,TRUE,50000
73575,both interview and exam,male,1,18,black,1,19,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,12500
73576,both interview and exam,male,16,NA,black,2,194,NA,NA,TRUE,TRUE,NA,9,NA,NA,NA,TRUE,50000
73577,both interview and exam,male,32,NA,mexican american,1,NA,FALSE,NA,FALSE,FALSE,12.5,NA,1,living_with_partner,NA,FALSE,22500
73578,both interview and exam,male,18,NA,mexican american,1,218,FALSE,NA,TRUE,TRUE,NA,14,NA,NA,NA,TRUE,22500
73579,both interview and exam,female,12,NA,white,2,147,NA,NA,TRUE,TRUE,NA,6,NA,NA,NA,TRUE,70000
73580,both interview and exam,female,38,NA,black,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,3,married,no,TRUE,NA
73581,both interview and exam,male,50,NA,asian,1,NA,FALSE,NA,FALSE,FALSE,12.5,NA,5,married,NA,TRUE,100000
73582,both interview and exam,female,23,NA,black,1,NA,FALSE,NA,TRUE,TRUE,NA,NA,4,living_with_partner,yes,TRUE,12500
73583,both interview and exam,female,7,NA,white,2,86,NA,NA,TRUE,TRUE,NA,1,NA,NA,NA,TRUE,100000
